public_metrics,id,conversation_id,author_id,lang,created_at,edit_history_tweet_ids,comment,withheld,talkid,videourl,gender
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1.571912876448678e+18,1.571912876448678e+18,7.54280093363626e+17,fa,2022-09-19T17:23:29.000Z,['1571912876448677890'],"بی طرفی = بی شرفی
#مهسا_امینی",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1.579836593955033e+18,1.579836593955033e+18,1.57655812664789e+18,fa,2022-10-11T14:09:30.000Z,['1579836593955033088'],"دویستو شست و سه
#مهسا_امینی
#OpIran",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",1.573185876976636e+18,1.573185876976636e+18,2562750424.0,fa,2022-09-23T05:41:56.000Z,['1573185876976635904'],"برای ترس توی دل پدر و مادرهامون که تا سالها می‌گفتن پشت تلفن چیزی نگو.
#مهسا_امینی 
#Mahsa_Amini 
#OpIran",
"{'retweet_count': 22, 'reply_count': 1, 'like_count': 70, 'quote_count': 0}",1.578025232874451e+18,1.578025232874451e+18,1.3054539764988314e+18,fa,2022-10-06T14:11:48.000Z,['1578025232874450944'],"ز حرف حق در این ایّام باطل بوی خون آید

#مهسا_امینی",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1.5806688980764058e+18,1.5806688980764058e+18,1.5718801486175437e+18,fa,2022-10-13T21:16:47.000Z,['1580668898076405762'],از فراخوان‌ها غافل نشید. #مهسا_امینی,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1.5834135941041603e+18,1.5834135941041603e+18,1.5768542846285496e+18,fa,2022-10-21T11:03:13.000Z,['1583413594104160256'],"بیاید قبول کنیم خیلیامون کاملا نسبت به آینده نا امید بودیم و این انقلاب دوباره به هممون امیدو برگردوند، جوری که خیلیا دیگه به مهاجرت فکر نمی کنن
پس برای همین امیدی که بدون اون مثله مرده های متحرک بودیم
#مهسا_امینی 
#اعتصابات_سراسری 
#انقلاب1401",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.5811316106357064e+18,1.5811316106357064e+18,1.4128528835869655e+18,fa,2022-10-15T03:55:26.000Z,['1581131610635706368'],"برای کوچه رقصیدن!

#StopHazaraGenocide
#مهسا_امینی",
#مهسا_امینی ,,,,,,,,
"{'retweet_count': 4, 'reply_count': 103, 'like_count': 6, 'quote_count': 0}",1.598995603383812e+18,1.598995603383812e+18,1.3642916088968274e+18,fa,2022-12-03T11:00:34.000Z,['1598995603383812099'],"هشتکگگگگگگ  #مهسا_امینی 
#StopBalochGenocide
#اعتصابات_سراسری https://t.co/HL6cGBS698",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1.57275333637333e+18,1.57275333637333e+18,1.1013485882426573e+18,qme,2022-09-22T01:03:10.000Z,['1572753336373329921'],#مهسا_امینی https://t.co/r0MBl9NJGs,
